ORIGEM,MARCA,MODELO,SERVICO_COMPLETO,PRECO,TIPO_SERVICO,QUALIDADE
IPHONES,IPHONES,IPHONE 12,BATERIA,269,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 12,BATERIA - SEM MENSAG,336,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE 12,TAMPA TRASEIRA,315,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 12,REPARO EM PLACA - PLACA,769,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 12,REPARO EM PLACA - CUSTO LUAN,450,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 12,FACE ID,329,FACE ID,VALOR
IPHONES,IPHONES,IPHONE 12,FACE ID - CUSTO LUAN,250,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE 12,CARCAÇAS,582,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 12,CAMERA TRASEIRA,759,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 12,DOCK DE CARGA - ORG,379,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE 12,DOCK DE CARGA - PRIME,288,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE 12,LENTE CAMERA TRASEIRA,269,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 12,AURICULAR,199,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 12,AURICULAR - COM FACE ID,309,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE 12 PRO,TELA - VIDRO,235,TELA,VIDRO
IPHONES,IPHONES,IPHONE 12 PRO,TELA - PRIME,435,TELA,PRIME
IPHONES,IPHONES,IPHONE 12 PRO,BATERIA,269,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 12 PRO,BATERIA - SEM MENSAG,336,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE 12 PRO,TAMPA TRASEIRA,315,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 12 PRO,REPARO EM PLACA - PLACA,769,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 12 PRO,REPARO EM PLACA - CUSTO LUAN,450,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 12 PRO,FACE ID,329,FACE ID,VALOR
IPHONES,IPHONES,IPHONE 12 PRO,FACE ID - CUSTO LUAN,250,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE 12 PRO,CARCAÇAS,669,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 12 PRO,DOCK DE CARGA - ORG,479,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE 12 PRO,LENTE CAMERA TRASEIRA,269,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 12 PRO,AURICULAR,199,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 12 PRO,AURICULAR - COM FACE ID,309,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE 12 PMX,TELA - VIDRO,335,TELA,VIDRO
IPHONES,IPHONES,IPHONE 12 PMX,TELA - PRIME,627,TELA,PRIME
IPHONES,IPHONES,IPHONE 12 PMX,BATERIA,335,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 12 PMX,BATERIA - SEM MENSAG,399,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE 12 PMX,TAMPA TRASEIRA,315,TAMPA TRASEIRA,VALOR
